"question","answers"
"Làm thế nào mà thí nghiệm thành công?","chúng vẫn ấm và khô qua mùa đông"
"Khi nào phiên tiếp theo được công bố?","12 tháng 11 năm 1962"
"Ai nói rằng Chopin đặt ra ""vào thế giới rộng lớn, không có mục tiêu được xác định rõ ràng, mãi mãi?""","Zdzisław Jachimecki"
"Ai là quan chức cấp cao nhất trong Chính phủ Nhân dân Chiết Giang?","Thống đốc Chiết Giang"
"Oklahoma có bao nhiêu trường đại học công lập?","mười một"
"Thí sinh nào đứng thứ ba về doanh số từ mùa ba?","William Hung"
"Hơn bất kỳ loài nào khác, chó có thể làm gì với con người?","hiểu và giao tiếp"
"Hướng nào từ đảo là Đảo Chim nằm?","Southwest"
"Dự thảo kết thúc khi nào?","1973"
"Thời báo ủng hộ phe chính trị nào của Nội chiến Hoa Kỳ?","những người ly khai"
"Mà offshoot có ít điểm chung với chủ nghĩa lập thể?","Futurist"
"Những người nào đã đến Quần đảo Anh khi sức mạnh của Đế chế La Mã đang giảm dần?","Anglo-Saxons"
"Ai đã viết Cuộc đời của các hoạ sĩ, nhà điêu khắc và kiến ​​trúc sư xuất sắc nhất?","Vasari"
"Thành phố thủ đô Kaesong hiện đang nằm ở đâu?","Bắc Triều Tiên"
"Hy Lạp, Phần Lan, Romania và Thổ Nhĩ Kỳ sử dụng loại chính phủ nào?","các nước cộng hoà nghị viện"
"Những đồng tiền nào được giới thiệu vào năm 1979?","Susan B. Anthony"
"Có bao nhiêu tàu sân bay Nhật Bản bị đánh chìm trong chiến tranh?","tám"
"Truyện tranh cho người lớn bắt đầu được gọi là gì?","Nghệ thuật thứ chín"
"Phương pháp thực hiện nào đã được sử dụng trên James W. Rodgers?","đội bắn"
"Khi nào quân đội Iran đẩy người Iraq trở lại Iraq?","giữa năm 1982"
"Điều gì ảnh hưởng đến khí hậu ở châu Âu?","Độ cao và kích thước của phạm vi"
"Thành tích hiếm khi xảy ra trước tuổi nào?","18"
"Blanche Wiesen Cook có liên quan gì đến Eisenhower?","người viết tiểu sử"
"TLB được tạo ra vào năm nào?","1911"
"Tại sao quân đội Mỹ thường xuyên ghé thăm Tajikistan?","để thực hiện các nhiệm vụ huấn luyện chung kéo dài đến vài tuần."
"Người thân của gia đình bị lưu đày sau khi Sun Cheng đã lật đổ chế độ?","Yan"
"Có bao nhiêu trường đại học trong khu vực MSA?","2"
"Nhà khoa học nào được đề cập thường xuyên nhất trong chương mới về Nguồn gốc các loài?","George Jackson Mivart"
"Macintosh Portable được phát hành lần đầu tiên khi nào?","1989"
"Tên của chính quyền địa phương và toà án là gì?","Real Audiencia del Reino de Galicia"
"Khi nào Hiệp hội Ngôn ngữ Ucraina Shevchenko được chính thức?","giữa tháng 11"
"Elena Pinchuk có loại nền tảng nào?","ANTIAIDS Foundation"
"Những gì được sản xuất đã giúp nền kinh tế Valencian cải thiện?","lụa dệt và gạch gốm"
"Lạm dụng thuật ngữ nào cho phép thiếu tuyên bố chiến tranh chính thức?","Chiến tranh toàn cầu chống khủng bố"
"Tên của nơi ở của hoàng gia được xây dựng cho các vị vua của Pháp ở Paris là gì?","Conciergerie"
"Hai bài hát Queen được viết với sự tham gia của khán giả trong tâm trí?","""We Will Rock You"" và ""We Are the Champions"""
"Điều gì cho thấy tầm quan trọng của Utrecht","Utrecht với tư cách là một trung tâm của Cơ đốc giáo được minh hoạ bằng việc bầu chọn Adriaan Florenszoon Boeyens sinh ra tại Utrecht vào năm 1522"
"Thời đại nào chứng kiến ​​sự gia tăng sử dụng công cụ kim loại?","Thời đại đồng"
"Reuben Greenberg nghỉ hưu vào năm nào với tư cách là Trưởng phòng Cảnh sát Charleston?","2005"
"Mint Hoa Kỳ được thành lập khi nào?","1792"
"Tiêu đề của bản ghi âm được biết đến sớm nhất về tác phẩm của Chopin là gì?","Nocturne trong E Major Op. 62 số 2"
"Đèn LED có thể chứa kim loại nguy hiểm nào?","arsenic"
"Khác với Florida, tiểu bang nào khác đã gửi tiền xu lỗi?","Tennessee"
"Năm nào lực lượng Mỹ bắt đầu đóng quân tại Việt Nam?","1959"
"Phục hưng bắt đầu từ thành phố nào?","Florence"
"Năm nào Isfahan giành được chiến thắng trước Hamadan?","1024"
"Nhà tài trợ còn lại bao lâu?","Thoả thuận tài trợ kéo dài bốn năm"
"Ai ảnh hưởng đến Magnus tại thời điểm này?","Dionysus"
"Thị trường bán lẻ của Mexico City như thế nào?","lớn và đa dạng"
"Chức năng ban đầu của nhà thờ Santa Costanza là gì?","lăng"
"Có bao nhiêu đội đang hoạt động trong AFL cho năm 2016?","tám"
"Điểm cực bắc của nó là gì?","Estaca de Bares"
"Khi nào các bức tranh khảm tại Cung điện lớn Constantinople được đưa vào sử dụng?","dưới triều đại của Justinian"
"Khi nào Alexander Đại đế đến Ấn Độ?","326 trước Công nguyên"
"John đã tuần hành chống lại ai vào tháng 1 năm 1216?","Alexander II của Scotland"
"Trường hợp ở Quần đảo Marshall, Hoa Kỳ có phạm vi thử tên lửa?","Kwajalein Atoll"
"Burke đã tìm thấy ấn phẩm nào?","Sổ đăng ký hàng năm"
"Có bao nhiêu động vật biển sống ở vùng cực của Trái đất?","235"
"Những tài sản nào khác bạn có thể giả sử gỗ bị bệnh?","sự không chắc chắn"
"Nghĩa trang ở Anh nằm ở đâu?","Buceo"
"Những gì mọi người mang tiếng Anh cổ đến Anh?","người định cư Anglo-Saxon"
"Những gì có thể tự nhận dạng không tương quan với chính xác?","sinh học"
"Một cơ thể côn trùng gồm 3 phần bao gồm cổ họng, bụng, và những gì?","ái đất"
"Zeila nằm ở khu vực địa lý nào của Somalia?","phía bắc"
"Thành viên paparazzi nào đã tấn công Kanye tại LAX năm 2013?","Daniel Ramos"
"Những hình thức nào là dễ hiểu lẫn nhau?","Catalan và Valencian"
"Cuộc cách mạng khoa học có trước hay sau Thời đại Khai sáng?","đi trước"
"Có bao nhiêu trường cung cấp giáo dục hoàn toàn ở Valencian?","hơn 70"
"Chúng ta có thể học những gì bằng cách kiểm tra cẩn thận tài liệu của chúng tôi?","lịch sử của chúng tôi"
"Chính phủ Trung Quốc lần đầu tiên được ca ngợi là gì?","đối với trận động đất"
"Trung Quốc, Hàn Quốc, Đông Nam Á và các đảo ở Thái Bình Dương được bao gồm những gì?","""Đông Ấn"""
"Người Sumer đã nói gì về bản thân họ như trong ngôn ngữ của họ?","""người đầu đen"""
"Jon Parele của New York Times gọi giọng nói của Beyoncé là gì chưa?","tart"
"Hợp đồng được trao cho Theo Epstein trị giá bao nhiêu?","$ 18 triệu"
"Thuốc phiện được làm ở đâu?","Bengal"
"Ai đã cấp điều lệ cho Ngài Walter Raleigh đi du lịch đến Bắc Carolina ngày nay?","Elizabeth I"
"Thời kỳ nào trong lịch sử là các nghiên cứu về giải phẫu thần kinh tăng lên rất nhiều?","Phục hưng"
"Đầu của một con vật được hiển thị là gì?","dấu hiệu của sức mạnh"
"Cộng đồng quốc tế coi khu vực phía bắc của Síp là gì?","lãnh thổ của Cộng hoà Síp bị lực lượng Thổ Nhĩ Kỳ chiếm đóng"
"Phần nào của lá trong cây lấy carbon dioxide và giải phóng oxy?","khí bằng"
"Tất cả các Bộ Ngoại giao cũ (trừ Bộ Cung ứng Hàng không) sáp nhập vào năm nào?","1964"
"Kanye đã phát hành bao nhiêu album kể từ khi bắt đầu sự nghiệp solo vào năm 2004?","7"
"Madonna kết hôn với Guy Ritchie khi nào?","21 tháng 12 năm 2000."
"Kris Allen đến từ bang nào?","Arkansas"
"Bài hát Queen nào là số một trên bảng xếp hạng của Anh trong chín tuần?","Bohemian Rhapsody"
"Những loại tin nhắn được gửi trong một mô hình đơn giản?","một thông điệp bằng ngôn ngữ tự nhiên"
"Trường nào kết quả từ sự sáp nhập của Imperial với St Mary?","Trường Đại học Khoa học, Công nghệ và Y học Hoàng gia"
"Tên của Adalhard the Elder còn được gọi là vào năm 822 sau Công nguyên?","Adalard của Corbie"
"Ở định dạng nào thì xuyên âm thường không xảy ra?","CAV"
"Từ năm 1939 đến 1949, có bao nhiêu sĩ quan và nhân viên quân sự được đào tạo tại các cơ sở của Evanston và Chicago?","gần 50.000"
"Vải chống ố được phủ hoá chất để giảm những gì?","chất lỏng"
"Năm 1829 trong chuyến đi trở lại Berlin Chopin là khách của ai?","Hoàng tử Antoni Radziwiłł"
"Ai không biết về doanh thu tiềm năng mà chương trình có thể tăng ban đầu?","công chúng"
"Tên của chị cả của Chopin là gì?","Ludwika"
"Vào ngày 10 tháng 3 năm 2016 giá trị của một cổ phiếu của Arsenal là bao nhiêu?","£ 15,670"
"Những yếu tố duy trì niềm tin vào các vị thần theo Varro?","tôn sùng và sùng bái."
"Nhóm Hồi giáo chính của Philippines bị tấn công là gì?","Abu Sayyaf"
"Estrella được đóng bởi nữ diễn viên nào?","Stephanie Sigman"
"Năm quận của thành phố New York được đặt tên là gì?","Brooklyn, Queens, Manhattan, Bronx và Đảo Staten"
"Hoàng tử HMS đã mang theo những gì khi nó chìm?","một hàng hoá quần áo mùa đông"
"Trong Phật giáo Nguyên thuỷ, nguyên nhân của sự tồn tại và đau khổ của con người là gì?","tham ái"
"Ai đã tiếp quản đạo diễn 'Interstellar'?","Christopher Nolan"
"Có bao nhiêu quả bom Đức bắn trúng mục tiêu của họ?","chỉ một phần ba"
"Nhà nước tổ chức quần thể chim của cả hai loài đặc hữu và những gì?","các loài di cư </ b>: các loài di cư lớn"
"Sử dụng ký tự kết hợp hoặc kết hợp được gọi là gì?","diacritics"
"Người Ailen đã xây dựng gì trong thời kỳ hoàng kim?","tu viện và trường đại học"
"Khi nào kính hiển vi đặc biệt tinh vi?","khi được sử dụng kết hợp với các kỹ thuật dựa trên kháng thể."
"Tên của lực lượng cảnh sát thành phố London là gì?","Cảnh sát Thành phố Luân Đôn"
"Tên của hệ thống tàu điện ngầm lớn nhất thế giới 12 theo chiều dài là gì?","Tàu điện ngầm Delhi"
"Trong các trường đại học, các khoa tâm lý giáo dục thường được tổ chức ở đâu?","khoa giáo dục"
"Ai là người Trung Quốc muốn triển khai đến Canberra để bảo vệ ngọn lửa?","Nhân viên Quân đội Giải phóng Nhân dân"
"Điều gì đã thay thế thuật ngữ Cận Đông?","Trung Đông"
"Mọi người định nghĩa thế nào là ""đen"" hay ""trắng""?","họ đáp ứng các tiêu chí xã hội"
"Sự hy sinh của con người được thực hiện ở Rome như thế nào?","chôn"
"Điều gì gây ra một vấn đề trong Đảng Cộng sản Hàn Quốc?","Trung Quốc đã tạo"
"Otzi the Iceman được phát hiện ở đâu?","sông băng Similaun"
"Nơi nào trong tiểu lục địa là địa điểm khảo cổ lâu đời nhất?","thung lũng sông Soan"
"Chương trình giao dịch mới được thực hiện để làm gì?","bông và thuốc lá"
"Ai đã làm cho Marathas trở thành một thế lực mạnh mẽ?","Peshwa Bajirao I"
"Nhiệt độ ban ngày tối đa trung bình trong tháng 8 ở Valencia là bao nhiêu?","28 mộc34 ° C"
"Học giả người Áo nào khác và bạn của Popper cũng làm việc gần anh ta tại Trường Kinh tế Luân Đôn?","Friedrich Hayek"
"Có bao nhiêu madaris đã được thành lập ở Cairo?","75"
"Các biến thể cạnh tranh đám mây của sao Hải Vương phụ thuộc vào điều gì?","độ cao"
"Trong trận chiến New Orleans, ai đã đánh bại người Anh?","Andrew Jackson"
"Năm nào Harper Lee đóng gói để đi đến sống ở thành phố New York?","1950"
"Tên thời con gái của mẹ Schwarzenegger là gì?","Jadrny"
"Những điều bí ẩn dường như đe doạ khiến người La Mã thỉnh thoảng cố gắng cấm họ?","đạo đức và sự thống nhất"
"Giới tính nào có tuyển sinh cao hơn?","nam"
"Sau khi đảo ngược quyết định của mình, Shell đã công bố những gì?","một cam kết rõ ràng để phát triển bền vững"
"Nắp đá vôi của đường may được làm từ gì?","sinh vật biển"
"Bài hát của tiểu bang New York là gì?","I Love New York"
"Các cuộc thi Olympic nữ đầu tiên được tổ chức ở đâu?","tại Amsterdam"
"Từ Miami, Silver Star chạy đến đâu?","Thành phố New York"
"Điều gì thể hiện sự dư thừa thống kê?","Nén không mất dữ liệu"
"Ngoài ra, khi các uỷ viên của Vương quốc Anh chiếm vị trí chủ quyền trong buổi lễ, buổi lễ diễn ra ở đâu?","Palace of Westminster"
"Có bao nhiêu quốc gia hoàng tử ở Ấn Độ vào năm 1947?","565"
"CAF hợp tác với lực lượng không quân nào khác?","Không quân Hoa Kỳ"
"AJ Ayer là một thành viên quan trọng của?","Chủ nghĩa kinh nghiệm logic"
"Đội nào thắng trận đầu tiên ở Copa del Generalissimo năm 1943?","Barcelona"
"Câu lạc bộ những người ủng hộ nào gắn chặt hơn với Arsenal?","Hiệp hội những người ủng hộ độc lập Arsenal"
"Chiến tranh Punic lần thứ hai là khi nào?","218 TCN"
"Có bao nhiêu người đã bị giết bởi những quả bom rơi trong Thế chiến thứ nhất?","1.413"
"Có bao nhiêu ngôi đền Hindu tồn tại ở London?","42"
"Những loại bài báo đã được xuất bản để giúp kế hoạch này?","các bài báo nâng cao nhận thức"
"Ai mua dịch vụ của các cơ quan dịch thuật?","doanh nghiệp, cá nhân và doanh nghiệp"
"Khu phố Tàu của London nằm ở khu vực nào?","Soho"
"Khi nào vụ va chạm giữa không trung Grand-Canyon xảy ra?","1956"
"Quốc hội liên bang đầu tiên được triệu tập vào năm 1901 ở đâu?","Toà nhà Triển lãm Hoàng gia"
"Trường đại học thường có loại bảng nào?","một hội đồng quản trị"
"Vương quốc Chu ở thời kỳ nào?","Mùa xuân"
"Đâu là Tổng Tham mưu trưởng Hoa Kỳ-Anh nằm ở đâu?","Washington"
"Nhà nước nào thành lập Cộng hoà Somalia với Somaliland của Anh?","Lãnh thổ uỷ thác của Somalia"
"Ở thành phố nào, một thế hệ sinh viên nghệ thuật Pháp đã nghiên cứu về kiến ​​trúc tân cổ điển và kết hợp các phong cách rộng lớn hơn?","Rome"
"Những nhóm tôn giáo chủ yếu được nhắm mục tiêu bởi cuộc chiến này?","Hồi giáo cực đoan"
"Victoria đã chỉ định ai là người thành công của Gladstone?","Lord Rosebery"
"Midtown thuộc khu vực nào của Miami?","phía bắc"
"Kerry đã nhận được Ngôi sao bạc của mình ở đâu?","An Thới"
"Có bao nhiêu triệu người đã đi qua các cảng của Hy Lạp trong năm 2010?","83,9 triệu"
"Tất cả các vi khuẩn trong cơ thể con người có thể gây hại?","tồn tại trên da hoặc trong mũi mà không gây ra bất kỳ bệnh nào"
"tuyến đường thương mại đi qua đâu?","qua Tứ Xuyên và đi qua huyện Shangri-La ở Vân Nam"
"Tại sao nhà xuất bản thay đổi ảnh bìa trên cuốn sách của Feynman?","với ma tuý và nhạc rock and roll"
"Hòn đảo nào là thủ đô của Quần đảo Marshall?","Majuro"
"Theo niềm tin của người Nontrinitarian, mối quan hệ của Mary với Jesus là gì?","mẹ ruột"
"Nhà của ai được xây dựng?","Henry III"
"Nguyên nhân cơ bản nào bắt đầu cuộc chiến năm 1914?","căng thẳng trên lãnh thổ ở Balkan."
"Các cửa hàng H & J Smith thường nằm ở đâu?","Southland"
"Làm thế nào sâu là lỗi?","20 km"
"Ai dừng chuyến đi của họ đến Ming Trung Quốc?","các Lạt ma Tây Tạng"
"Mất bao nhiêu năm để lấy bằng tốt nghiệp từ các trường bách khoa ở Pakistan?","ba"
"Ai vận hành những đường dây này?","Régie Autonome des Transports Parisiens"
"Tài liệu nào có một người đàn ông da trắng ở Bắc Carolina?","Cậu bé da trắng"
"Kitô hữu được cho là vật tế thần của ai?","Nero"
"DVD đã chiếm lĩnh thị trường LaserDisc vào năm nào?","cuối những năm 1990"
"Ai là một trong những độc giả đầu tiên của cuốn sách của Ludwig Wittgenstein?","Hayek"
"Sử dụng phổ biến cho kẽm clorua là gì?","chất khử mùi"
